ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	2282	1833	2164	1579	
1	Bật điều hoà | Bật A/C | điều hoà | máy lạnh | bật máy lạnh	Turn on the air condition | Turn on A/C | A/C on | Air conditioning on|	Allumer la climatisation / Régler la climatisation/ Activer l'air conditionné	Schalte die Klimaanlage ein/ Aktivier die Klimaanlage	
	Bật điều hoà	Turn on the AC 	Allumez la climatisation	Schalte bitte die Klimaanlage ein.	
	Hãy mở điều hoà nhiệt độ	ON the AC 	Allumez la clim	Stell bitte die Klimaanlage an.	
	Điều hoà bật lên	Hey Vinfast, turn on the AC 	Allume l'air conditionné	Die Klimaanlage, bitte!	
	Bật điều hòa lên giúp mình	Oh my god, it is very hot in here. Turn on the AC	Allumez l'air conditionné	Klimaanlage an!	
	Bật máy lạnh	Turn on AC	Allume la climatisation	Schalte die Klimaanlage an.	
	Vinfast ơi bật điều hòa lên cho tao với	Why is it so hot in here. Turn the AC on	Allume la clim	Klima an!	
	Vinfast đâu rồi bật máy lạnh lên cho tao	Please turn on the AC 	J'ai chaud, allume la clim toute de suite.	Mach die Klimaanlage an.	
	Bật ac	I want some air 	Active la clim	Ich will frische Luft im Auto.	
	Nóng quá tao cần bật điều hòa ngay bây giờ	Why the AC is not ON? Turn it on!	Activez la clim	Mir ist zu warm. Ich brauche sofort die Klimaanlage.	
				Aktiviere die Klimaanlage	
	Bật điều hoà lên nhé	Can you turn on the AC please	Activez la climatisation	Aktivier die Klimaanlage	
	mở điều hòa luôn nhé	Turn on the air conditioning for me	Active la climatisation	Klima ein!	
	Bật điều hoà nhiệt độ 	I want my AC on 	Activez l'air conditionné	Ich möchte die Klimaanlage einschalten.	
	Bật điều hoà không khí	Turn the air conditioning on 	Je veux allumer la climatisation	Klimaanlage ein bitte	
	Điều hoà bật lên	Air conditioning ON 	Peux-tu allumer l'air conditionné?	Klimaanlage anmachen!	
	Hãy bật điều hoà	Turn on the aircon for me 	Je veux activer la climatisation	Kannst du die Klimaanlage anmachen?	
	Giúp tôi bật điều hoà không khí	AC on right now!	Peux-tu activer l'air conditionné?	Kannst du die Klimaanlage einschalten?	
	mở máy lạnh đê	I need the aircon ON 	Pouvez-vous activer l'air conditionné?	Klimaanlage einschalten!	
				Mach die Klima an!	
				Mach die Klima ein!	
				Starte die Klimaanlage!	
				Starte bitte die Klimaanlage!	
				Mach die Klimaanlage an bitte	
				Mach bitte die Klimaanlage an	
				Mach die Klima an bitte	
				Mach bitte die Klima an	
					
					
2	Tắt điều hoà | Tắt A/C | Tắt máy lạnh | dừng điều hoà | ngừng điều hoà	Turn off the air condition | Turn off A/C | A/C off | Air Conditioning off	Désactiver la climatisation/désactiver l'air conditionné/ Éteindre la clim	Schalte die Klimaanlage aus/ Schalte die Klimaanlage ab	
	Tắt điều hòa	Turn off AC 	Désactivez la climatisation	Schalte bitte die Klimaanlage aus.	
	Tắt điều hoà không khí	Turn off the air condition  	Désactive clim	Schalte die Klimaanlage ab.	
	Tắt điều hoà giúp tôi	AC off now	Désactive la climatisation	Hilf mir beim Ausschalten der Klimaanlage.	
	Dừng điều hoà đi	Turn off the AC for me please	Stop la clim	Stell die Klimaanlage ab.	
	Tắt chế độ điều hoà	Stop the AC now 	Éteignez la clim	Mach die Klimaanlage bitte aus	
	Tắt máy điều hoà	Stop the AC please	Éteins la clim	Mach die Klimaanlage aus	
	Hãy tắt điều hoà không khí	I don't need the AC anymore 	Arrêtez la climatisation	Ich möchte die Klimaanlage ausschalten	
	Vinfast tắt điều hoà	Can you please turn off the aircon for me?	Éteins la climatisation	Bitte Klimaanlage aus	
	Vinfast dừng điều hoà	Please turn off the air conditioning now!	Éteignez la climatisation	Klimaanlage aus bitte	
	Điều hoà tắt đi	Off the AC	Stop la climatisation	Klimaanlage aus	
	Tắt máy lạnh	I want to turn off my AC 	Arrêtez l'air conditionné	Klima aus	
	dừng điều hòa	Turn off the aircon right now	Peux-tu éteindre la climatisation?	Klimaanlage deaktivieren	
	Dừng máy lạnh	Shut down the air conditioning please	Désactivez l'air conditionné	Deaktivier die Klimaanlage	
	Ngưng điều hòa	Please turn off the air condition 	Désactive l'air conditionné	Deaktiviere die Klimaanlage	
	Ngừng điều hòa	Stop the air conditioning now	Stoppez la climatisation	Klimaanlage aussschalten	
	Ngừng máy lạnh	Stop the air conditioner for me 	Pouvez-vous éteindre la climatisation?	Klimaanlage ausmachen	
	Mình không muốn dùng điều hòa nữa đâu		Je ne veux plus la clim.	Ich brauche die Klimaanlage nicht mehr.	
	Bạn có thể nào tắt điều hòa đi không ạ		Peux-tu désactiver la clim?	Kannst du die Klimaanlage ausschalten?	
	Ngưng máy lạnh		Pouvez-vous désactiver l'air conditionné?	Bitte mache die Klimaanlage aus	
			Désactivez l'air conditionné	Bitte schalte die Klimaanlage aus	
			Désactive l'air conditionné	Bitte mach die Klimaanlage aus	
				Bitte schalt die Klimaanlage aus	
				Ich benutze die Kimaanlage nicht mehr	
3	Bật chế độ điều hoà tự động | Bật chế độ tự động điều chỉnh điều hoà | Bật chế độ tự động điều hoà | điều hoà tự động | bật điều hoà tự động | chế độ điều hoà tự động	Turn on climate control auto mode | turn on HVAC auto mode | AC Auto on | auto air conditioning on	Activer la climatisation automatique / Allumer la clim auto/ Activer la clim auto	Schalte die automatische Klimaanlage ein/ Schalte die Klimaautomatik ein	
	Bật chế độ điều hòa tự động	Turn on climate control auto mode  	Allumez la clim auto	Schalte die automatische Klimaanlage ein	
	Bật chế độ tự động điều chỉnh điều hòa	Turn on "H" "Vac" 	Activez la climatisation auto	Schalte die Klimaautomatik ein	
	Bật chế độ tự động điều hòa	Turn on climate sync	Allumez la clim automatique	Schalte die Klimasync ein	
	Điều hòa tự động	I want the HVAC auto mode ON 	Clim automatique	Klimaautomatik einschalten	
	Bật điều hòa tự động	AC auto on 	Climatisation automatique	Klimaautomatik an	
	Chế độ máy lạnh tự động	ON Auto air conditioning for me 	Allume la climatisation automatique	Klimaanlage im Automatikmodus an	
	Bật máy lạnh tự động	Activate AC auto now	Activez la clim automatique	Aktivier die Klimaautomatik	
	Chế độ tự động điều chỉnh máy lạnh bật lên đi	Please turn on auto air conditioning 	Régulation automatique de la climatisation	Schalte HLK ein	
	Bật cho tao chế độ điều hòa tự động	Can you turn on HVAC for me?	Active la climatisation automatique	Kannst du die Klimaautomatik einschalten	
	Bật giúp tao điều hòa tự động	Can you please turn on the HVAC?	La climatisation automatique	Hilf mir beim Einschalten der Klimaautomatik	
				Klimaautomatik bitte an	
				Klimaautomatik bitte einschalten	
				Klimaautomatik bitte anschalten	
				automatische Klimaanlage ein	
				automatische Klimaanlage an	
4	Tắt chế độ điều hoà tự động | Tắt chế độ tự động điều chỉnh điều hoà | Tắt chế độ tự động điều hoà | tắt điều hoà tự động| dừng điều hoà tự động	Turn off climate control auto mode | turn off HVAC auto mode | AC Auto off | auto air conditioning off	Désactiver la climatisation automatique/ Désactiver le système de régulation automatique de la climatisation.	Schalte die automatische Klimaanlage aus/ Schalte die Klimaautomatik aus	
	Tắt chế độ điều hòa tự động	Turn off climate control auto mode  	Stop la clim automatique	Schalte die automatische Klimaanlage aus	
	Tắt chế độ tự động điều chỉnh điều hòa	Turn off "H" "Vac" 	Éteignez la clim auto	Schalte die Klimaautomatik aus	
	Tắt chế độ tự động điều hòa	Turn off climate sync	Éteins la climatisation automatique	Schalte die Klimasync aus	
	Tắt điều hòa tự động	I want to stop the HVAC auto mode	Éteignez la climatisation automatique	Lass die Klimaautomatik ausschalten	
	Tắt điều hòa tự động cho tao được không	AC auto off	Désactive clim automatique	Klimaautomatik aus	
	Chế độ máy lạnh tự động tắt đi	OFF Auto air conditioning for me 	Désactivez la climatisation automatique	Klimaanlage im Automatikmodus aus	
	Tắt máy lạnh tự động	Turn off the AC auto now	Arrêtez l'air conditionné automatique	Klimaautomatik ausschalten	
	Chế độ tự động điều chỉnh máy lạnh tắt đi	Please shut down auto air conditioning 	Désactivez l'air conditionné automatique	Deaktivier die Klimaautomatik	
	Tắt cho tao chế độ điều hòa tự động	Can you switch off  the auto HVAC for me?	Désactivez l'air conditionné automatique	Kannst du die Klimaautomatik ausschalten	
	Tắt giúp tao điều hòa tự động	Can you please turn off the HVAC?	Arrêtez la climatisation automatique	Hilf mir beim Ausschalten der Klimaautomatik	
5	Bật chế độ điều hoà tối đa | Bật chế độ điều hoà mạnh nhất | Bật chế độ điều hoà tối ưu | bật điều hoà tối đa | bật điều hoà mạnh nhất | Chế độ điều hoà tối đa	Turn on Max A/C | Max AC on | Max AC	Allumer la clim au niveau maximum/ Activer la climatisation au niveau maximum/ Allumer l'air conditionné au niveau maximum	Schalte die Klimaanlage auf maximale Stufe ein	
	Bật chế độ điều hòa tối đa	Turn on Max AC	Réglez la clim au niveau le plus fort	Schalte die Klimaanlage auf maximale Stufe ein	
	Bật chế độ điều hoà mạnh nhất	Max AC on 	Allumez la clim au niveau le plus fort	Stell die Klimaanlage auf maximale Stufe ein	
	Bật chế độ điều hoà tối ưu	Max AC  	Allumez la climatisation au niveau le plus fort	Stell die Klimaanlage auf maximal	
	Bật điều hoà chế độ tối ưu nhất	Can you turn on maxium air conditioner please?	La clim au niveau maximum	Kannst du die maximale Stufe der Klimaanlage einschalten?	
	Bật điều hoà mạnh nhất	Please turn on Max AC.	La climatisation la plus forte	Aktivier maximalen Modus der Klimaanlage	
	Chế độ điều hoà tối đa	I want Max AC	La clim la plus forte	Ich will den Modus Max AC	
	Bật chế độ điều hòa tối đa cho tôi nhé	I need Max AC right now 	Activez la clim au maxi	Ich brauche sofort den Modus Max AC	
	Bật chế độ điều hòa tối ưu xem nào		Active la climatisation le plus fort possible	Ich möchte die maximale Stufe der Klimaanlage einschalten	
	Bật máy lạnh chế độ max		L'air conditionné le plus fort possible	Ich brauche sofort die maximale Stufe der Klimaanlage	
				Klimaanlage auf Max	
				Klimaanlage Max	
				Klimaanlage maximal	
				Klimaanlage auf maximal	
				Klimaanlage volle Stärke	
				Schalte die Klimaanlage auf maximal	
				Stelle die Klimaanlage auf maximal	
				Schalte die Klimaanlage auf max	
				Stelle die Klimaanlage auf max	
6	Tắt chế độ điều hoà tối đa | Tắt chế độ điều hoà mạnh nhất | Tắt chế độ điều hoà tối ưu | tắt điều hoà tối đa | tắt điều hoà mạnh nhất	Turn off Max A/C | Max AC off	Annuler la clim au niveau maximum/ Désactiver la climatisation au niveau maximum / Annuler l'air conditionné au niveau maximum	Schalte die maximale Stufe der Klimaanlage aus/ maximale Stufe der Klimaanlage aus	
	Tắt chế độ điều hòa tối đa	Turn off Max AC	Désactivez la climatisation au niveau maximum	Schalte die maximale Stufe der Klimaanlage aus	
	Tắt chế độ điều hoà tối ưu nhất	Max AC off	Ne mettez plus la clim au niveau maximum	maximale Stufe der Klimaanlage aus	
	Tắt chế độ điều hoà tối ưu	Stop max AC  	Désactive la climatisation au niveau maximum	Schalte die maximale Stufe der Klimaanlage ab	
	Tắt điều hòa lớn nhất đi	Can you turn off maxium air conditioner please?	Stop la clim au niveau maximum	Kannst du die maximale Stufe der Klimaanlage abschalten?	
	Tắt điều hoà mạnh nhất	Please turn off Max AC.	Annule la clim au niveau maximum	Schalte den Modus Max AC aus	
	Tắt chế độ máy lạnh lớn nhất	I want  to stop Max AC	Annulez la clim au niveau maximum	Schalt die maximale Stufe der Klimaanlage aus	
	Tắt chế độ điều hòa cao nhất		Annule la climatisation au niveau maximum	Deaktivier maximalen Modus der Klimaaanlage	
	Tắt chế độ điều hòa cực đại		Annulez la climatisation au niveau maximum	Deaktiviere maximalen Modus der Klimaaanlage	
	Tắt chế độ máy lạnh cực đại đi ạ		Je veux annuler la climatisation au niveau maximum	Modus Max aus	
	Tắt điều hòa chế độ lớn nhất đi giúp tao		Peux-tu annuler la clim au niveau maximum?		
7	Bật quạt gió | Bật quạt	Turn on fan | Fan on	Régler le ventilateur/ Allumer le ventilateur/ Activer le ventilateur	Schalte die Lüftung ein/ Die Lüftung an	
	Bật quạt gió	Turn on the fan 	Allume le ventilateur	Schalte die Lüftung ein	
	Quạt gió bật lên đi	I want the fan on 	Allumez le ventilateur	Ich brauche sofort die Lüftung	
	Hãy bật quạt gió lên giúp tao	Please turn on the fan 	Active le ventilateur	Hilf mir beim Einschalten der Lüftung	
	Quạt gió ơi bật lên đi	Can you turn on the fan	Activez le ventilateur	Aktivier die Lüftung	
	Vinfast ơi bật quạt gió lên giúp mình nhé	On the fan right now 	Vinfast, allume le ventilateur, s'il te plait!	Vinfast, schalte die Lüftung ein	
	Mùi khó chịu quá đi bật quạt gió lên cho tao	It smells bad. Turn on the fan!	Mauvaise odeur, allumer le ventilateur	Es riecht schlecht. Die Lüftung an bitte!	
	Bạn có bật quạt gió được không	The AC doesn't work,turn on the fan 	Peux-tu allumer le ventilateur?	Kannst du die Lüftung einschalten	
	Điều hòa hỏng rồi bật quạt gió lên đi	It is very humid in here. Turn on the fan	La clim en panne, allumez le ventilateur!	Die Klimaanlage funktioniert nicht. Schalte die Lüftung an	
	Xe toàn mùi ẩm ướt bật quạt gió lên đi ạ	I can't breathe. Turn on the fan!	Trop humide, allumez le ventilateur!	Es ist feucht. Schalte die Lüftung ein	
	Hôm nay xe bí bách quá bật quạt gió lên đi em yêu ơi	Fan ON 	Quelle chaleur! Allumez la clim!	Ich kann nicht atmen. Die Lüftung an bitte!	
				Aktiviere die Lüftung	
				Lüftung ein	
				Lüftung an	
8	Tắt quạt gió | dừng quạt gió | tắt quạt gió	Turn off fan | Fan off	Éteindre le ventilateur/ Désactiver le ventilateur	Schalte die Lüftung aus/ Die Lüftung aus	
	Tắt quạt gió	Turn off the fan 	Éteins le ventilateur	Schalte die Lüftung aus	
	Quạt gió tắt lên đi	I want the fan off	Éteingnez le ventilateur	Ich möchte die Lüftung ausschalten	
	Hãy tắt quạt gió giúp tao	Please turn off the fan 	Désactive le ventilateur	Hilf mir beim Ausschalten der Lüftung	
	Quạt gió ơi tắt đi	Can you turn off the fan	Désactivez le ventilateur	Deaktivier die Lüftung	
